query_sample	query_sample_basename	genotyped_sample	rank	discordance	discordance_per_site	avg_neg_log_hwe	sites_compared	matching_genotypes	match_fraction	source_file
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI157435	9	34392.36	1.9639310187300136	1.849358	17512	14756	0.8426222019186843	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI464877	10	34689.4	1.9808931018730014	1.871502	17512	14726	0.8409090909090909	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI290150	1	7915.109	0.4270358241165363	1.716408	18535	18495	0.9978419206905854	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI437237	2	7925.01	0.42757000269759915	1.716272	18535	18494	0.99778796870785	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI161988	3	7925.01	0.42757000269759915	1.716272	18535	18494	0.99778796870785	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI347556	4	7934.911	0.428104181278662	1.716077	18535	18493	0.9977340167251146	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI424613	5	7944.812	0.4286383598597248	1.718026	18535	18492	0.9976800647423792	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI438368	6	7944.812	0.4286383598597248	1.715886	18535	18492	0.9976800647423792	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI153239	7	7954.713	0.4291725384407877	1.715927	18535	18491	0.997626112759644	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI518830	8	7954.713	0.4291725384407877	1.715756	18535	18491	0.997626112759644	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI378662	9	7964.614	0.42970671702185054	1.715836	18535	18490	0.9975721607769086	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Minsoy-asm20.sorted.bam	Minsoy-asm20.sorted.bam	PI153305	10	7964.614	0.42970671702185054	1.715512	18535	18490	0.9975721607769086	vcf-50k-asm20-Xcss/Wm82a6_hifi-Minsoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374178	1	34180.45	2.1493083066088157	1.176397	15903	13102	0.8238697101175879	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374160	2	34498.66	2.169317738791423	1.159763	15903	13070	0.821857511161416	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374177	3	35012.14	2.2016059862918946	1.172104	15903	13018	0.8185876878576369	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI285096	4	36705.23	2.308069546626423	1.169943	15903	12847	0.8078349996855939	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI323563	5	37439.99	2.354272149908822	1.161725	15903	12773	0.8031817895994466	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374161	6	38111.19	2.3964780230145255	1.184198	15903	12705	0.7989058668175816	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374168	7	38883.48	2.4450405583852106	1.180537	15903	12627	0.7940011318619129	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374173	8	38952.78	2.4493982267496697	1.181428	15903	12620	0.7935609633402503	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374176	9	38962.68	2.4500207508017358	1.180882	15903	12619	0.7934980821228699	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/MiyakoWhite-asm20.sorted.bam	MiyakoWhite-asm20.sorted.bam	PI374169	10	38972.59	2.450643903665975	1.181203	15903	12618	0.7934352009054896	vcf-50k-asm20-Xcss/Wm82a6_hifi-MiyakoWhite-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI407020	1	28401.97	1.5153374593181455	1.83611	18743	16635	0.8875313450354799	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI479769	2	42070.58	2.2446022515072293	1.814622	18743	15255	0.813903857440111	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI549045A	3	42961.22	2.292120791762258	1.741421	18743	15165	0.8091020647708478	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI522200A	4	44161.56	2.35616283412474	1.793893	18743	15044	0.8026463212932828	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
