# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Wm82a6.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Wm82a6.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000437 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	41374
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Wm82a6	PI69991	14392	8.805656e-01	41374	26982
DCv2	Wm82a6	PI81023	19404	5.908208e-01	41374	21970
DCv2	Wm82a6	PI84632S	14254	7.910938e-01	41374	27120
DCv2	Wm82a6	PI85559	14314	6.549744e-01	41374	27060
DCv2	Wm82a6	PI86002	19245	8.890998e-01	41374	22129
DCv2	Wm82a6	PI86024	15844	6.140563e-01	41374	25530
DCv2	Wm82a6	PI88312	14887	7.547018e-01	41374	26487
DCv2	Wm82a6	PI91091	14583	7.108151e-01	41374	26791
DCv2	Wm82a6	PI93217	14146	7.023171e-01	41374	27228
DCv2	Wm82a6	PI157401	18215	6.443121e-01	41374	23159
DCv2	Wm82a6	PI174852	16502	7.612801e-01	41374	24872
DCv2	Wm82a6	PI184047	18661	7.452239e-01	41374	22713
DCv2	Wm82a6	PI189941	17669	6.735162e-01	41374	23705
DCv2	Wm82a6	PI196168	14702	6.496291e-01	41374	26672
DCv2	Wm82a6	PI200462	16063	6.031553e-01	41374	25311
DCv2	Wm82a6	PI229339	15785	6.080108e-01	41374	25589
DCv2	Wm82a6	PI238108	17245	7.168282e-01	41374	24129
DCv2	Wm82a6	PI241424	17592	5.970672e-01	41374	23782
DCv2	Wm82a6	PI248404	14637	6.658123e-01	41374	26737
DCv2	Wm82a6	PI274207	14454	6.412976e-01	41374	26920
DCv2	Wm82a6	PI274582	15658	7.503406e-01	41374	25716
DCv2	Wm82a6	PI306704B	15647	7.027196e-01	41374	25727
DCv2	Wm82a6	PI307854	18672	7.834258e-01	41374	22702
DCv2	Wm82a6	PI307865	19208	8.609611e-01	41374	22166
DCv2	Wm82a6	PI307876A	15807	6.969859e-01	41374	25567
DCv2	Wm82a6	PI307888B	18585	7.885732e-01	41374	22789
DCv2	Wm82a6	PI307889C	16730	7.279279e-01	41374	24644
DCv2	Wm82a6	PI317337	15508	6.267140e-01	41374	25866
DCv2	Wm82a6	PI323560	17165	7.582752e-01	41374	24209
DCv2	Wm82a6	PI355070S	13601	7.359080e-01	41374	27773
DCv2	Wm82a6	PI361071B	15686	7.042515e-01	41374	25688
DCv2	Wm82a6	PI361116	12533	7.942401e-01	41374	28841
DCv2	Wm82a6	PI378687B	20060	8.046259e-01	41374	21314
DCv2	Wm82a6	PI398202	15172	6.213979e-01	41374	26202
DCv2	Wm82a6	PI398307	15643	6.247017e-01	41374	25731
DCv2	Wm82a6	PI398399	15171	6.272289e-01	41374	26203
DCv2	Wm82a6	PI398634	15613	6.257572e-01	41374	25761
DCv2	Wm82a6	PI398723	19445	6.379555e-01	41374	21929
DCv2	Wm82a6	PI398772	15127	5.897679e-01	41374	26247
DCv2	Wm82a6	PI398985	15426	6.134994e-01	41374	25948
DCv2	Wm82a6	PI399122	15670	6.397794e-01	41374	25704
DCv2	Wm82a6	PI407099	19828	8.161661e-01	41374	21546
DCv2	Wm82a6	PI407186	20636	8.597197e-01	41374	20738
DCv2	Wm82a6	PI407191	22964	7.641784e-01	41374	18410
DCv2	Wm82a6	PI407795B	15438	6.395069e-01	41374	25936
DCv2	Wm82a6	PI407915	14761	6.330454e-01	41374	26613
DCv2	Wm82a6	PI407916	15447	6.490655e-01	41374	25927
