# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Wm82v4.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Wm82v4.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000406 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	41267
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Wm82v4	PI88312	14837	7.547595e-01	41241	26404
DCv2	Wm82v4	PI91091	14537	7.108165e-01	41241	26704
DCv2	Wm82v4	PI93217	14097	7.020580e-01	41241	27144
DCv2	Wm82v4	PI157401	18161	6.439456e-01	41241	23080
DCv2	Wm82v4	PI174852	16449	7.608603e-01	41241	24792
DCv2	Wm82v4	PI184047	18590	7.457165e-01	41241	22651
DCv2	Wm82v4	PI189941	17621	6.723238e-01	41241	23620
DCv2	Wm82v4	PI196168	14665	6.481426e-01	41241	26576
DCv2	Wm82v4	PI200462	16010	6.030999e-01	41241	25231
DCv2	Wm82v4	PI229339	15723	6.086211e-01	41241	25518
DCv2	Wm82v4	PI238108	17203	7.154415e-01	41241	24038
DCv2	Wm82v4	PI241424	17534	5.971540e-01	41241	23707
DCv2	Wm82v4	PI248404	14587	6.657125e-01	41241	26654
DCv2	Wm82v4	PI274207	14401	6.411373e-01	41241	26840
DCv2	Wm82v4	PI274582	15591	7.510575e-01	41241	25650
DCv2	Wm82v4	PI306704B	15611	7.013910e-01	41241	25630
DCv2	Wm82v4	PI307854	18609	7.836402e-01	41241	22632
DCv2	Wm82v4	PI307865	19151	8.603360e-01	41241	22090
DCv2	Wm82v4	PI307876A	15762	6.959412e-01	41241	25479
DCv2	Wm82v4	PI307888B	18524	7.886025e-01	41241	22717
DCv2	Wm82v4	PI307889C	16689	7.267788e-01	41241	24552
DCv2	Wm82v4	PI317337	15464	6.256715e-01	41241	25777
DCv2	Wm82v4	PI323560	17106	7.580852e-01	41241	24135
DCv2	Wm82v4	PI355070S	13554	7.360640e-01	41241	27687
DCv2	Wm82v4	PI361071B	15638	7.042193e-01	41241	25603
DCv2	Wm82v4	PI361116	12502	7.929614e-01	41241	28739
DCv2	Wm82v4	PI378687B	19984	8.050824e-01	41241	21257
DCv2	Wm82v4	PI398202	15113	6.215642e-01	41241	26128
DCv2	Wm82v4	PI398307	15582	6.252572e-01	41241	25659
DCv2	Wm82v4	PI398399	15111	6.274780e-01	41241	26130
DCv2	Wm82v4	PI398634	15552	6.260704e-01	41241	25689
DCv2	Wm82v4	PI398723	19374	6.383077e-01	41241	21867
DCv2	Wm82v4	PI398772	15074	5.899243e-01	41241	26167
DCv2	Wm82v4	PI398985	15379	6.131113e-01	41241	25862
DCv2	Wm82v4	PI399122	15610	6.403403e-01	41241	25631
DCv2	Wm82v4	PI407099	19773	8.155446e-01	41241	21468
DCv2	Wm82v4	PI407186	20566	8.597093e-01	41241	20675
DCv2	Wm82v4	PI407191	22893	7.635421e-01	41241	18348
DCv2	Wm82v4	PI407795B	15395	6.383341e-01	41241	25846
DCv2	Wm82v4	PI407915	14709	6.331193e-01	41241	26532
DCv2	Wm82v4	PI407916	15393	6.490505e-01	41241	25848
DCv2	Wm82v4	PI407999-1	20833	6.043446e-01	41241	20408
DCv2	Wm82v4	PI408095A	14506	6.602170e-01	41241	26735
DCv2	Wm82v4	PI408304	15487	6.308496e-01	41241	25754
DCv2	Wm82v4	PI415072	13813	8.037992e-01	41241	27428
DCv2	Wm82v4	PI417072	15902	6.045838e-01	41241	25339
DCv2	Wm82v4	PI417115	15500	6.799767e-01	41241	25741
DCv2	Wm82v4	PI417128	15982	6.119646e-01	41241	25259
DCv2	Wm82v4	PI417286	15789	6.009840e-01	41241	25452
DCv2	Wm82v4	PI417472C	15808	6.167803e-01	41241	25433
DCv2	Wm82v4	PI417502	15865	7.267311e-01	41241	25376
DCv2	Wm82v4	PI423842	15440	6.273235e-01	41241	25801
DCv2	Wm82v4	PI423982	15601	6.198640e-01	41241	25640
DCv2	Wm82v4	PI423992	21582	8.869482e-01	41241	19659
DCv2	Wm82v4	PI424028	23653	5.954470e-01	41241	17588
DCv2	Wm82v4	PI424248	15623	5.867699e-01	41241	25618
DCv2	Wm82v4	PI424249E	14868	6.088890e-01	41241	26373
DCv2	Wm82v4	PI424324B	15067	6.477289e-01	41241	26174
DCv2	Wm82v4	PI424376	14803	6.247736e-01	41241	26438
DCv2	Wm82v4	PI424443	14389	6.410523e-01	41241	26852
DCv2	Wm82v4	PI434975	15784	6.931618e-01	41241	25457
DCv2	Wm82v4	PI437079A	17902	7.221882e-01	41241	23339
DCv2	Wm82v4	PI437150	15666	8.590747e-01	41241	25575
DCv2	Wm82v4	PI437299	17107	6.573951e-01	41241	24134
DCv2	Wm82v4	PI437341	10147	1.007423e+00	41241	31094
DCv2	Wm82v4	PI437378C	15395	6.598272e-01	41241	25846
DCv2	Wm82v4	PI437441	14841	7.618477e-01	41241	26400
DCv2	Wm82v4	PI437615A	15959	7.088719e-01	41241	25282
DCv2	Wm82v4	PI437673	14484	7.205806e-01	41241	26757
DCv2	Wm82v4	PI437690	20231	8.977930e-01	41241	21010
DCv2	Wm82v4	PI437721A	15878	6.815874e-01	41241	25363
DCv2	Wm82v4	PI437863B	13679	8.428430e-01	41241	27562
DCv2	Wm82v4	PI437892	15421	6.453021e-01	41241	25820
DCv2	Wm82v4	PI438015	15685	6.804695e-01	41241	25556
DCv2	Wm82v4	PI438037	15987	6.302084e-01	41241	25254
